iter	MultiClass
0	2.563652873
1	2.129084743
2	1.847248444
3	1.649750045
4	1.454976931
5	1.339479607
6	1.235862112
7	1.113123094
8	1.016366208
9	0.9297862464
10	0.8563937788
11	0.800098641
12	0.7508694977
13	0.7004572299
14	0.6529080965
15	0.6101452502
16	0.5748278878
17	0.5382748938
18	0.5026451575
19	0.4697699296
20	0.4421352327
21	0.4177437628
22	0.3929151708
23	0.3710744849
24	0.3510672105
25	0.3299346454
26	0.3150311997
27	0.2980362785
28	0.2856271509
29	0.2738765452
30	0.2615649136
31	0.2484925979
32	0.239500204
33	0.2289412043
34	0.2178510427
35	0.2109319398
36	0.2032717009
37	0.1942645901
38	0.1871742632
39	0.179837827
40	0.1742127308
41	0.1675235735
42	0.1607024845
43	0.1552627571
44	0.1504841775
45	0.1444938095
46	0.1390076408
47	0.134630063
48	0.1297660727
49	0.1261671496
50	0.1222632757
51	0.1185724
52	0.11516972
53	0.1123066149
54	0.1093069631
55	0.106421781
56	0.1032886961
57	0.1008634806
58	0.09796879933
59	0.09567973183
60	0.09309716955
61	0.09065027554
62	0.0888940027
63	0.08592393355
64	0.0838318953
65	0.08134232723
66	0.07944374789
67	0.07757728244
68	0.07604392545
69	0.07345728914
70	0.07133810584
71	0.06965722635
72	0.06844082004
73	0.0665720118
74	0.06529307365
75	0.06384640833
76	0.06321444456
77	0.0617961483
78	0.05993763092
79	0.05853500697
80	0.05687158163
81	0.05587086089
82	0.05460034989
83	0.05334836876
84	0.052316298
85	0.05128420811
86	0.05001866202
87	0.04880406983
88	0.04828276905
89	0.04713966738
90	0.046457462
91	0.04541626403
92	0.04447981255
93	0.04356127359
94	0.04295210647
95	0.04173691326
96	0.04090749518
97	0.04044576756
98	0.03980791558
99	0.03904384284
100	0.0382137285
101	0.0380471615
102	0.03749687743
103	0.03671224186
104	0.03584702255
105	0.03523028731
106	0.03479630856
107	0.03440433694
108	0.03389761105
109	0.03343168596
110	0.03292360489
111	0.03242140648
112	0.03186777631
113	0.03128024469
114	0.03071288404
115	0.03013290735
116	0.02967480695
117	0.02914953432
118	0.02871417237
119	0.02837575189
120	0.02801545662
121	0.02747880332
122	0.02713282419
123	0.02702513289
124	0.02674057463
125	0.026493709
126	0.02632696085
127	0.02597472029
128	0.02563116234
129	0.02529628787
130	0.02506668396
131	0.02474395173
132	0.02439081384
133	0.02408214155
134	0.0238191438
135	0.02361901013
136	0.02335407828
137	0.02310276355
138	0.02283257449
139	0.02251436239
140	0.02232080667
141	0.02218950869
142	0.02194384613
143	0.02171146622
144	0.02146527498
145	0.02130764149
146	0.0211559412
147	0.02098337828
148	0.02088415474
149	0.02069717001
150	0.02038320883
151	0.02020208006
152	0.01999065845
153	0.01978503822
154	0.0195551483
155	0.01936795766
156	0.01920413063
157	0.01895028878
158	0.01876676654
159	0.01859972814
160	0.01846240742
161	0.01831096947
162	0.01815752869
163	0.0180821426
164	0.0178968938
165	0.01765351298
166	0.01754312473
167	0.01749179581
168	0.01731875985
169	0.01714708167
170	0.0170130397
171	0.0168845287
172	0.01679901549
173	0.01668037346
174	0.01658263261
175	0.0164569558
176	0.01631232943
177	0.01619791202
178	0.01604107214
179	0.0159148247
180	0.01581649589
181	0.01565930533
182	0.01552654772
183	0.01538639614
184	0.01523857321
185	0.01515665404
186	0.01504246126
187	0.01492296704
188	0.01483661402
189	0.01475021672
190	0.0145995112
191	0.01447196336
192	0.01440944688
193	0.01428012558
194	0.01415117984
195	0.01405227876
196	0.0139331513
197	0.01385301438
198	0.0137198982
199	0.01362026254
200	0.01350091322
201	0.01338791704
202	0.01330657102
203	0.01325868399
204	0.0131336068
205	0.01307044839
206	0.0130111952
207	0.01288797861
208	0.01279046508
209	0.01272586413
210	0.01262049162
211	0.01255309291
212	0.01248624483
213	0.0124163297
214	0.01236542708
215	0.01230955474
216	0.01221591494
217	0.01216655295
218	0.01211565215
219	0.01203587621
220	0.01198108823
221	0.01191785864
222	0.01183625739
223	0.01175513135
224	0.01167281174
225	0.01158946016
226	0.01154240446
227	0.01148093624
228	0.01137658545
229	0.01133133876
230	0.01126630627
231	0.01119604217
232	0.01112736745
233	0.01105863572
234	0.01103290467
235	0.01095218445
236	0.01089129533
237	0.01084790656
238	0.01079519018
239	0.01075343518
240	0.0107124444
241	0.01063981959
242	0.01059105196
243	0.01053615048
244	0.01049151223
245	0.01044311138
246	0.0103972686
247	0.01034946577
248	0.01030725117
249	0.01024820723
250	0.0102147321
251	0.01015868331
252	0.01010808787
253	0.01005290954
254	0.01000302621
255	0.009978303819
256	0.009912865016
257	0.009858545166
258	0.009805754597
259	0.009748515096
260	0.009696666654
261	0.009647749274
262	0.009623911567
263	0.009590713818
264	0.009543296323
265	0.009506326388
266	0.00945514304
267	0.009406982148
268	0.009359149581
269	0.009316186547
270	0.009265130934
271	0.009215549501
272	0.009185386191
273	0.009139653082
274	0.009087572856
275	0.009028040353
276	0.008968060129
277	0.00895204075
278	0.008914608937
279	0.00885863014
280	0.008839885383
281	0.008801189931
282	0.008737542773
283	0.008706337247
284	0.008675318689
285	0.008640291536
286	0.008631203525
287	0.008578933193
288	0.008545951464
289	0.008509804818
290	0.008490917508
291	0.008452419698
292	0.008391496156
293	0.008358524717
294	0.00831326258
295	0.008288892985
296	0.008258542064
297	0.008217630031
298	0.008171975499
299	0.008140873821
